ix,Region,Валюта
Литва,европа,EUR
Китай,азия,CNY
Казахстан,снг,KZT
Россия,снг,RUB
Италия,европа,EUR
Белоруссия,снг,BYN
Германия,европа,EUR
Франция,европа,EUR
Соед. Королев.,европа,GBP
Узбекистан,снг,UZS
Польша,европа,EUR
Нидерланды,европа,EUR
Украина,снг,UAH
Финляндия,европа,EUR
Сербия,европа,EUR
Турция,средняя азия,TRY
Молдавия,европа,MDL
Венгрия,европа,HUF
Бельгия,европа,EUR
Швейцария,европа,CHF
Швеция,европа,EUR
Эстония,европа,EUR
Чехия,европа,CZK
Австрия,европа,EUR
Киргизия,снг,KGS
Дания,европа,DKK
Таджикистан,снг,TJS
Испания,европа,EUR
Словакия,европа,EUR
Индия,азия,INR
Атырауская обл.,снг,KZT
Рязанская обл.,цфо,RUB
Алтайский край,сфо,RUB
Пермский край,пфо,RUB
Нижегородская обл.,пфо,RUB
Свердловская обл.,уфо,RUB
Брестская обл.,снг,BYN
Ростовская обл.,юфо,RUB
Московская обл.,цфо,RUB
Респ. Башкортостан,пфо,RUB
Минская обл.,снг,BYN
Волгоградская обл.,юфо,RUB
Иркутская обл.,сфо,RUB
Владимирская обл.,цфо,RUB
Респ. Татарстан,пфо,RUB
Воронежская обл.,цфо,RUB
Респ. Мордовия,пфо,RUB
г. Санкт-Петербург,сзфо,RUB
Смоленская обл.,цфо,RUB
Тверская обл.,цфо,RUB
Оренбургская обл.,пфо,RUB
Курская обл.,цфо,RUB
Самарская обл.,пфо,RUB
Челябинская обл.,уфо,RUB
Тульская обл.,цфо,RUB
Краснодарский край,юфо,RUB
Томская обл.,сфо,RUB
Карагандинская обл.,снг,KZT
Ставропольский край,скфо,RUB
Кемеровская обл.,сфо,RUB
г. Москва,цфо,RUB
Омская обл.,сфо,RUB
Ярославская обл.,цфо,RUB
Ленинградская обл.,сзфо,RUB
Гомельская обл.,снг,BYN
Калининградская обл.,сзфо,RUB
Брянская обл.,цфо,RUB
Респ. Удмуртия,пфо,RUB
Новосибирская обл.,сфо,RUB
Пензенская обл.,пфо,RUB
Хабаровский край,дфо,RUB
Саратовская обл.,пфо,RUB
Орловская обл.,цфо,RUB
Ханты-Мансийский а. о.,уфо,RUB
Ульяновская обл.,пфо,RUB
Красноярский край,сфо,RUB
Кировская обл.,пфо,RUB
г. Алма-Ата,снг,KZT
Гродненская обл.,снг,BYN
Могилевская обл.,снг,BYN
Приморский край,дфо,RUB
Псковская обл.,сзфо,RUB
Калужская обл.,цфо,RUB
Витебская обл.,снг,BYN
Тюменская обл.,уфо,RUB
Павлодарская обл.,снг,BYN
Западно-Казахстанская обл.,снг,KZT
Липецкая обл.,цфо,RUB
Ивановская обл.,цфо,RUB
Еврейская АО,дфо,RUB
Вологодская обл.,сзфо,RUB
Мангистауская обл.,снг,KZT
Респ. Саха (Якутия),дфо,RUB
г. Минск,снг,BYN
г. Нур-Султан,снг,KZT
Белгородская обл.,цфо,RUB
Чувашская респ.,пфо,RUB
Респ. Дагестан,скфо,RUB
Респ. Коми,сзфо,RUB
Астраханская обл.,юфо,RUB
Восточно-Казахстанская обл.,снг,KZT
Респ. Хакасия,сфо,RUB
Респ. Марий Эл,пфо,RUB
