curr,d,m,y,rate
EUR,1,12,2021,84_8234
CNY,1,12,2021,11_7547
KZT,1,12,2021,0_170443
RUB,1,12,2021,1
BYN,1,12,2021,29_4331
GBP,1,12,2021,99_8843
UZS,1,12,2021,0_00694284
UAH,1,12,2021,2_74319
TRY,1,12,2021,5_83507
MDL,1,12,2021,4_2311
HUF,1,12,2021,0_231607
CHF,1,12,2021,81_3608
CZK,1,12,2021,3_31581
KGS,1,12,2021,0_882884
DKK,1,12,2021,11_4173
TJS,1,12,2021,6_63353
INR,1,12,2021,0_997172
EUR,30,11,2021,84_482
CNY,30,11,2021,11_7482
KZT,30,11,2021,0_171152
RUB,30,11,2021,1
BYN,30,11,2021,29_3586
GBP,30,11,2021,99_9432
UZS,30,11,2021,0_00695755
UAH,30,11,2021,2_76378
TRY,30,11,2021,5_96433
MDL,30,11,2021,4_22909
HUF,30,11,2021,0_229562
CHF,30,11,2021,81_0089
CZK,30,11,2021,3_29185
KGS,30,11,2021,0_8842
DKK,30,11,2021,11_3609
TJS,30,11,2021,6_63849
INR,30,11,2021,0_998825
EUR,29,11,2021,84_482
CNY,29,11,2021,11_7482
KZT,29,11,2021,0_171152
RUB,29,11,2021,1
BYN,29,11,2021,29_3586
GBP,29,11,2021,99_9432
UZS,29,11,2021,0_00695755
UAH,29,11,2021,2_76378
TRY,29,11,2021,5_96433
MDL,29,11,2021,4_22909
HUF,29,11,2021,0_229562
CHF,29,11,2021,81_0089
CZK,29,11,2021,3_29185
KGS,29,11,2021,0_8842
DKK,29,11,2021,11_3609
TJS,29,11,2021,6_63849
INR,29,11,2021,0_998825
EUR,28,11,2021,84_482
CNY,28,11,2021,11_7482
KZT,28,11,2021,0_171152
RUB,28,11,2021,1
BYN,28,11,2021,29_3586
GBP,28,11,2021,99_9432
UZS,28,11,2021,0_00695755
UAH,28,11,2021,2_76378
TRY,28,11,2021,5_96433
MDL,28,11,2021,4_22909
HUF,28,11,2021,0_229562
CHF,28,11,2021,81_0089
CZK,28,11,2021,3_29185
KGS,28,11,2021,0_8842
DKK,28,11,2021,11_3609
TJS,28,11,2021,6_63849
INR,28,11,2021,0_998825
EUR,27,11,2021,84_9526
CNY,27,11,2021,11_8266
KZT,27,11,2021,0_173385
RUB,27,11,2021,1
BYN,27,11,2021,29_4975
GBP,27,11,2021,100_5613
UZS,27,11,2021,0_00702643
UAH,27,11,2021,2_7875
TRY,27,11,2021,6_29333
MDL,27,11,2021,4_25904
HUF,27,11,2021,0_230836
CHF,27,11,2021,81_5045
CZK,27,11,2021,3_31066
KGS,27,11,2021,0_891074
DKK,27,11,2021,11_4554
TJS,27,11,2021,6_69803
INR,27,11,2021,1_00941
EUR,26,11,2021,83_6793
CNY,26,11,2021,11_6758
KZT,26,11,2021,0_172327
RUB,26,11,2021,1
BYN,26,11,2021,29_7142
GBP,26,11,2021,99_5393
UZS,26,11,2021,0_00694254
UAH,26,11,2021,2_76116
TRY,26,11,2021,6_2249
MDL,26,11,2021,4_20284
HUF,26,11,2021,0_227812
CHF,26,11,2021,79_9404
CZK,26,11,2021,3_28231
KGS,26,11,2021,0_87944
DKK,26,11,2021,11_2557
TJS,26,11,2021,6_61058
INR,26,11,2021,1_00088
EUR,25,11,2021,83_6394
CNY,25,11,2021,11_6427
KZT,25,11,2021,0_17188
RUB,25,11,2021,1
BYN,25,11,2021,29_6175
GBP,25,11,2021,99_4734
UZS,25,11,2021,0_00690866
UAH,25,11,2021,2_76039
TRY,25,11,2021,5_79316
MDL,25,11,2021,4_19119
HUF,25,11,2021,0_227349
CHF,25,11,2021,79_6366
CZK,25,11,2021,3_27633
KGS,25,11,2021,0_876754
DKK,25,11,2021,11_2415
TJS,25,11,2021,6_59039
INR,25,11,2021,0_999148
EUR,24,11,2021,84_1718
CNY,24,11,2021,11_7212
KZT,24,11,2021,0_172465
RUB,24,11,2021,1
BYN,24,11,2021,29_7889
GBP,24,11,2021,100_186
UZS,24,11,2021,0_00695728
UAH,24,11,2021,2_78816
TRY,24,11,2021,6_22532
MDL,24,11,2021,4_21949
HUF,24,11,2021,0_227248
CHF,24,11,2021,80_3702
CZK,24,11,2021,3_31162
KGS,24,11,2021,0_882302
DKK,24,11,2021,11_327
TJS,24,11,2021,6_62529
INR,24,11,2021,1_00561
EUR,23,11,2021,82_7715
CNY,23,11,2021,11_5175
KZT,23,11,2021,0_169456
RUB,23,11,2021,1
BYN,23,11,2021,29_4509
GBP,23,11,2021,98_5854
UZS,23,11,2021,0_00683813
UAH,23,11,2021,2_75603
TRY,23,11,2021,6_59773
MDL,23,11,2021,4_14858
HUF,23,11,2021,0_225095
CHF,23,11,2021,79_1238
CZK,23,11,2021,3_25435
KGS,23,11,2021,0_866085
DKK,23,11,2021,11_1334
TJS,23,11,2021,6_50581
INR,23,11,2021,0_987073
EUR,22,11,2021,82_7715
CNY,22,11,2021,11_5175
KZT,22,11,2021,0_169456
RUB,22,11,2021,1
BYN,22,11,2021,29_4509
GBP,22,11,2021,98_5854
UZS,22,11,2021,0_00683813
UAH,22,11,2021,2_75603
TRY,22,11,2021,6_59773
MDL,22,11,2021,4_14858
HUF,22,11,2021,0_225095
CHF,22,11,2021,79_1238
CZK,22,11,2021,3_25435
KGS,22,11,2021,0_866085
DKK,22,11,2021,11_1334
TJS,22,11,2021,6_50581
INR,22,11,2021,0_987073
EUR,21,11,2021,82_7715
CNY,21,11,2021,11_5175
KZT,21,11,2021,0_169456
RUB,21,11,2021,1
BYN,21,11,2021,29_4509
GBP,21,11,2021,98_5854
UZS,21,11,2021,0_00683813
UAH,21,11,2021,2_75603
TRY,21,11,2021,6_59773
MDL,21,11,2021,4_14858
HUF,21,11,2021,0_225095
CHF,21,11,2021,79_1238
CZK,21,11,2021,3_25435
KGS,21,11,2021,0_866085
DKK,21,11,2021,11_1334
TJS,21,11,2021,6_50581
INR,21,11,2021,0_987073
EUR,20,11,2021,82_5845
CNY,20,11,2021,11_4016
KZT,20,11,2021,0_168391
RUB,20,11,2021,1
BYN,20,11,2021,29_4868
GBP,20,11,2021,98_141
UZS,20,11,2021,0_00675715
UAH,20,11,2021,2_73877
TRY,20,11,2021,6_66255
MDL,20,11,2021,4_11315
HUF,20,11,2021,0_226792
CHF,20,11,2021,78_4493
CZK,20,11,2021,3_26044
KGS,20,11,2021,0_857764
DKK,20,11,2021,11_0919
TJS,20,11,2021,6_44194
INR,20,11,2021,0_980444
EUR,19,11,2021,82_2583
CNY,19,11,2021,11_3773
KZT,19,11,2021,0_167518
RUB,19,11,2021,1
BYN,19,11,2021,29_4162
GBP,19,11,2021,98_0202
UZS,19,11,2021,0_00675039
UAH,19,11,2021,2_74891
TRY,19,11,2021,6_75665
MDL,19,11,2021,4_10599
HUF,19,11,2021,0_226468
CHF,19,11,2021,78_2604
CZK,19,11,2021,3_26258
KGS,19,11,2021,0_855993
DKK,19,11,2021,11_0699
TJS,19,11,2021,6_43351
INR,19,11,2021,0_978334
EUR,18,11,2021,82_3553
CNY,18,11,2021,11_4108
KZT,18,11,2021,0_168552
RUB,18,11,2021,1
BYN,18,11,2021,29_5116
GBP,18,11,2021,97_9685
UZS,18,11,2021,0_00678002
UAH,18,11,2021,2_74569
TRY,18,11,2021,7_00637
MDL,18,11,2021,4_12594
HUF,18,11,2021,0_226088
CHF,18,11,2021,78_262
CZK,18,11,2021,3_26867
KGS,18,11,2021,0_85858
DKK,18,11,2021,11_0838
TJS,18,11,2021,6_4502
INR,18,11,2021,0_979532
EUR,17,11,2021,82_5244
CNY,17,11,2021,11_3768
KZT,17,11,2021,0_168283
RUB,17,11,2021,1
BYN,17,11,2021,29_4282
GBP,17,11,2021,97_6304
UZS,17,11,2021,0_00676744
UAH,17,11,2021,2_75078
TRY,17,11,2021,7_14429
MDL,17,11,2021,4_12469
HUF,17,11,2021,0_22617
CHF,17,11,2021,78_4127
CZK,17,11,2021,3_27172
KGS,17,11,2021,0_855422
DKK,17,11,2021,11_0968
TJS,17,11,2021,6_42936
INR,17,11,2021,0_975665
EUR,16,11,2021,82_7736
CNY,16,11,2021,11_3267
KZT,16,11,2021,0_16788
RUB,16,11,2021,1
BYN,16,11,2021,29_3898
GBP,16,11,2021,96_9751
UZS,16,11,2021,0_00673112
UAH,16,11,2021,2_74982
TRY,16,11,2021,7_23955
MDL,16,11,2021,4_09921
HUF,16,11,2021,0_225788
CHF,16,11,2021,78_574
CZK,16,11,2021,3_28175
KGS,16,11,2021,0_85217
DKK,16,11,2021,11_1274
TJS,16,11,2021,6_40429
INR,16,11,2021,0_971762
EUR,15,11,2021,82_7736
CNY,15,11,2021,11_3267
KZT,15,11,2021,0_16788
RUB,15,11,2021,1
BYN,15,11,2021,29_3898
GBP,15,11,2021,96_9751
UZS,15,11,2021,0_00673112
UAH,15,11,2021,2_74982
TRY,15,11,2021,7_23955
MDL,15,11,2021,4_09921
HUF,15,11,2021,0_225788
CHF,15,11,2021,78_574
CZK,15,11,2021,3_28175
KGS,15,11,2021,0_85217
DKK,15,11,2021,11_1274
TJS,15,11,2021,6_40429
INR,15,11,2021,0_971762
EUR,14,11,2021,82_7736
CNY,14,11,2021,11_3267
KZT,14,11,2021,0_16788
RUB,14,11,2021,1
BYN,14,11,2021,29_3898
GBP,14,11,2021,96_9751
UZS,14,11,2021,0_00673112
UAH,14,11,2021,2_74982
TRY,14,11,2021,7_23955
